time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,mag_x,mag_y,mag_z
18:26.4,-0.057720209,0.069739953,9.947764536,0.216509114,0.105944068,0.108880614,-0.070671378,6.174377224,6.254098361
18:26.4,0.009033869,0.117021277,9.966244047,0.016305763,0.090809201,0,-0.074204947,6.170818505,6.254098361
18:26.4,-0.038701651,0.088652482,9.976815023,0.123107984,0,0.093326241,-0.074204947,6.167259786,6.254098361
18:26.4,-0.057814771,0.079196217,9.977100717,0.075872348,-0.105944068,0.108880614,-0.074204947,6.174377224,6.25
18:26.4,0.009506682,0.069739953,9.9569022,0.122955107,-0.015134867,0.093326241,-0.077738516,6.174377224,6.258196721
18:26.4,-0.067607738,0.098108747,9.947579723,-0.045248229,0.090809201,0.202206855,-0.074204947,6.167259786,6.254098361
18:26.4,-0.058287585,0.126477541,9.957012766,0.106343589,-0.136213801,0.093326241,-0.067137809,6.167259786,6.254098361
18:26.4,-0.029192372,0.098108747,9.907955839,0.031847138,0.105944068,0.062217494,-0.081272085,6.170818505,6.258196721
18:26.4,-0.087099109,0.126477541,9.908251219,0.030929873,0.015134867,-0.031108747,-0.091872792,6.170818505,6.254098361
18:26.4,-0.038985339,0.117021277,9.956914306,0.077401122,0.0454046,-0.015554373,-0.077738516,6.163701068,6.245901639
18:26.5,-0.009984689,0.098108747,10.04510282,-0.045859739,0.030269734,0.186652481,-0.070671378,6.170818505,6.25
18:26.5,-0.048400055,0.098108747,9.937577714,0.215744727,0.030269734,0,-0.084805654,6.167259786,6.245901639
18:26.5,-0.029570623,0.135933806,9.897771439,0.107413731,-0.030269734,0.093326241,-0.091872792,6.170818505,6.245901639
18:26.5,-0.040214653,0.239952719,9.965507218,0.062318379,0.075674334,0.062217494,-0.074204947,6.167259786,6.254098361
18:26.5,-0.010268377,0.126477541,9.887863046,0.200509107,0.0454046,0.093326241,-0.070671378,6.163701068,6.254098361
18:26.5,-0.038701651,0.088652482,9.947385225,0.139413747,0.090809201,0.015554373,-0.081272085,6.167259786,6.258196721
18:26.5,-0.058098459,0.107565012,9.967009933,-0.030776996,0,0,-0.091872792,6.170818505,6.254098361
18:26.5,0.009506682,0.069739953,9.947092267,0.063235644,0.166483535,0.031108747,-0.077738516,6.170818505,6.258196721
18:26.5,-0.067418613,0.079196217,9.928147092,-0.047082759,-0.090809201,0.093326241,-0.077738516,6.167259786,6.254098361
18:26.5,-0.029192372,0.098108747,9.9864353,-0.077095368,-0.015134867,0.093326241,-0.074204947,6.170818505,6.25
18:26.6,-0.067607738,0.098108747,10.00643932,0.078777019,0.181618402,0.062217494,-0.070671378,6.167259786,6.254098361
18:26.6,-0.019493968,0.088652482,9.927573283,-0.000458632,-0.0454046,0.093326241,-0.081272085,6.167259786,6.262295082
18:26.6,-0.029570623,0.135933806,9.937011169,0.029706854,-0.105944068,0.186652481,-0.077738516,6.163701068,6.258196721
18:26.6,-0.029286935,0.107565012,9.947101953,0.107413731,-0.030269734,0.202206855,-0.084805654,6.170818505,6.258196721
18:26.6,-0.048116367,0.069739953,9.947668497,-0.109706893,-0.196753268,-0.062217494,-0.077738516,6.170818505,6.245901639
18:26.6,-0.057909334,0.088652482,9.967197167,0.139413747,0.090809201,-0.186652481,-0.081272085,6.170818505,6.254098361
18:26.6,-0.010173814,0.117021277,9.946816259,0.13803785,-0.0454046,0.108880614,-0.074204947,6.174377224,6.258196721
18:26.6,-0.048683743,0.126477541,9.96672666,-0.016152885,-0.075674334,0.108880614,-0.081272085,6.170818505,6.258196721
